,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
2239,1721091153.237541,546.61,541.89,546.6,534.97,550.72,548.99,546.16,541.39
2240,1721091183.239315,541.66,537.98,545.08,541.02,551.1,543.46,544.02,537.97
2241,1721091213.241077,544.79,543.42,542.09,534.24,548.62,547.64,540.89,538.65
2242,1721091243.242913,542.19,540.39,537.9,541.57,542.78,548.56,542.47,543.89
2243,1721091273.244703,534.61,530.55,527.48,525.44,533.91,535.9,532.39,527.4
2244,1721091303.246583,527.4,528.05,529.19,521.72,537.78,536.61,530.1,526.5
2245,1721091333.248451,534.85,527.87,525.09,524.99,530.04,533.91,531.16,531.69
2246,1721091363.250228,538.09,530.14,525.55,525.82,535.45,536.74,538.07,534.19
2247,1721091393.252013,540.29,543.93,537.43,532.78,548.61,546.73,540.09,540.21
2248,1721091423.253922,550.26,539.81,531.56,534.13,539.64,542.34,545.73,541.81
2249,1721091453.255738,542.05,543.07,542.5,531.85,549.63,548.88,542.49,544.23
2250,1721091483.257519,548.95,541.68,540.99,533.4,545.55,548.85,544.49,544.37
2251,1721091543.260836,549.52,542.95,538.26,533.04,543.01,552.49,547.11,539.73
2252,1721091573.26263,542.5,539.13,531.73,528.65,539.4,540.07,540.58,532.06
2253,1721091603.264395,536.95,528.81,525.96,524.74,530.75,536.65,535.8,528.58
2254,1721091633.266195,535.46,529.61,526.32,526.76,533.51,533.38,535.27,527.3
2255,1721091663.268015,534.66,533.44,527.41,523.46,532.56,539.02,533.29,528.07
2256,1721091693.270075,534.34,529.16,527.53,522.4,534.48,537.69,531.14,531.29
2257,1721091723.271901,544.68,536.46,538.52,536.91,537.57,547.89,549.75,536.95
2258,1721091753.281353,544.97,540.37,542.96,537.47,549.92,548.31,540.79,540.87
2259,1721091783.283142,548.27,542.7,541.96,533.15,549.18,548.73,547.3,540.34
2260,1721091813.284949,548.41,540.07,541.04,537.75,543.81,544.43,549.19,541.32
2261,1721091843.286821,529.72,536.53,529.87,527.55,535.69,541.09,531.18,528.69
2262,1721091873.288689,530.2,524.27,523.5,520.67,531.33,529.89,522.23,526.02
2263,1721091903.290587,529.13,522.49,529.09,522.84,529.07,531.96,531.33,526.97
2264,1721091933.292385,533.33,530.86,531.98,524.27,536.46,539.18,523.7,524.59
2265,1721091963.294146,535.31,525.35,520.6,522.27,527.96,534.25,534.96,531.07
2266,1721091993.29593,530.7,534.69,526.87,522.06,537.47,533.79,531.59,528.96
2267,1721092023.297716,537.53,531.36,532.95,528.99,538.29,535.58,537.85,530.63
2268,1721092053.29951,544.27,541.83,536.02,534.31,545.97,542.51,541.62,540.95
2269,1721092083.301293,544.34,540.57,540.75,534.03,548.7,545.55,540.07,541.84
2270,1721092113.303059,544.56,541.02,542.19,541.5,548.46,543.44,543.64,541.64
2271,1721092143.304903,186.07,187.37,185.64,183.39,189.81,188.53,185.94,184.6
2272,1721092173.306727,163.95,167.63,161.43,165.61,170.47,172.58,161.64,166.41
2273,1721092203.308478,542.2,533.22,528.03,526.65,536.5,540.84,535.9,544.89
2274,1721092233.310221,549.76,543.23,539.92,539.2,540.55,543.35,544.75,542.66
2275,1721092263.312037,540.12,537.75,538.18,540.54,544.92,543.38,542.86,539.08
2276,1721092293.313786,541.71,537.97,540.1,525.18,544.5,546.19,537.45,535.96
2277,1721092323.315558,528.65,524.28,527.46,530.2,528.41,529.92,535.19,526.75
2278,1721092353.317296,523.96,516.96,515.08,518.35,526.88,525.47,523.58,517.81
2279,1721092383.319014,532.73,529.34,524.55,518.68,529.12,531.91,530.73,534.43
2280,1721092413.320785,530.55,525.51,524.78,526.57,529.18,527.2,532.28,523.48
2281,1721092443.322736,541.05,535.25,529.72,529.65,535.92,542.43,540.1,542.51
2282,1721092473.324483,531.46,526.69,527.15,525.42,527.29,534.38,531.54,531.3
2283,1721092533.327718,534.47,540.15,537.57,525.1,542.9,542.95,539.23,535.74
2284,1721092563.329461,541.51,543.67,535.92,533.56,540.81,549.38,539.73,536.93
2285,1721092593.33124,548.8,544.58,537.86,536.88,544.61,547.25,541.73,543.94
2286,1721092623.332975,544.31,542.55,540.63,542.14,551.52,543.83,538.39,537.62
2287,1721092653.334742,546.73,544.8,541.7,538.74,547.17,553.13,540.52,542.51
2288,1721092683.336536,553.76,543.2,536.34,543.71,539.99,547.22,543.38,542.55
2289,1721092713.338328,538.76,536.71,532.11,528.88,538.12,540.54,539.25,536.45
2290,1721092743.340142,533.5,532.69,533.75,531.46,539.69,539.23,537.65,534.13
2291,1721092773.341948,535.19,529.55,528.16,528.97,533.49,532.26,538.35,529.03
2292,1721092803.343701,533.89,531.61,526.73,525.13,536.91,535.6,533.22,526.48
2293,1721092833.345467,525.19,525.61,525.02,524.6,530.56,529.86,530.94,529.61
2294,1721092863.347238,533.33,530.98,532.88,526.82,534.75,530.36,531.71,528.92
2295,1721092893.348985,555.9,546.7,538.65,535.71,544.1,546.12,545.38,544.93
2296,1721092923.350754,539.45,545.67,544.79,538.16,551.0,550.75,543.44,538.2
2297,1721092953.352525,553.9,546.86,535.55,533.62,541.58,546.46,543.91,542.16
2298,1721092983.35433,540.67,542.8,535.76,534.72,539.95,543.46,544.27,536.55
2299,1721093013.356225,538.83,531.74,537.56,524.9,539.2,541.85,537.29,537.11
2300,1721093043.358001,539.8,529.8,521.08,515.84,530.84,536.54,523.31,530.42
2301,1721093073.35983,525.22,524.08,527.65,526.91,532.02,523.13,532.57,522.59
2302,1721093103.361657,532.56,532.18,528.88,522.87,537.82,537.01,534.83,526.31
2303,1721093133.363492,527.29,525.92,526.55,528.53,531.91,533.19,533.06,526.3
2304,1721093163.365291,533.64,529.35,528.44,518.19,534.21,533.19,529.9,525.57
2305,1721093193.367038,540.34,536.21,535.16,528.01,543.64,543.18,544.18,538.28
2306,1721093223.369058,549.07,543.38,537.31,532.71,547.82,551.98,540.65,541.44
2307,1721093253.371211,540.97,544.9,536.02,543.51,546.01,547.06,546.43,540.25
2308,1721093283.373016,545.8,535.42,537.8,534.64,545.3,544.09,548.82,543.82
2309,1721093313.374835,541.25,539.08,535.29,534.8,545.74,542.98,541.52,537.08
2310,1721093343.376913,532.43,531.23,535.83,522.31,544.1,537.84,532.75,528.66
2311,1721093373.379124,538.16,538.07,530.21,525.94,536.05,542.98,528.64,530.55
2312,1721093403.381202,531.18,526.03,522.75,517.12,532.63,532.59,532.35,526.83
2313,1721093433.383303,533.72,527.18,524.27,529.25,532.65,533.75,533.93,527.26
2314,1721093463.385463,536.65,530.34,528.81,528.74,532.4,529.34,530.59,530.16
2315,1721093523.389434,536.43,534.8,533.37,533.59,540.97,542.86,546.53,539.61
2316,1721093553.391306,542.7,541.52,536.81,537.63,545.52,542.49,541.89,545.34
2317,1721093583.39341,544.99,544.25,535.24,538.07,540.01,544.28,541.79,543.28
2318,1721093613.395143,539.24,538.3,532.47,527.66,538.72,540.08,536.13,532.84
2319,1721093643.396881,536.62,524.76,524.99,525.43,531.76,535.09,534.24,532.58
2320,1721093673.398624,525.15,536.26,531.92,531.3,536.26,532.42,537.43,531.35
2321,1721093703.400335,537.23,524.27,522.04,516.54,531.95,537.76,528.9,530.33
2322,1721093733.402104,532.84,530.04,524.96,521.63,532.18,532.48,531.58,528.4
