run,timestamp,GPU 0,GPU 1,GPU 2,GPU 3,GPU 4,GPU 5,GPU 6,GPU 7
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755154989.0274506,463.711,486.761,514.383,528.591,569.065,466.491,494.069,507.785
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755155199.0280566,380.542,407.547,430.659,415.092,426.671,370.466,390.92,413.854
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755155559.0276742,509.401,511.959,518.412,513.891,534.02,511.881,541.749,509.694
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755155739.027802,429.08,454.484,486.801,491.444,529.674,533.013,550.524,465.858
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755155874.0277703,450.929,437.965,478.727,485.855,537.003,522.059,571.931,549.914
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755156144.0279047,501.639,520.25,556.707,573.348,569.856,503.694,548.567,560.939
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755156999.0273192,504.415,509.515,517.236,531.495,577.792,501.662,531.161,551.256
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157164.0274737,492.653,528.654,525.603,496.542,527.372,511.861,562.382,544.168
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157449.0282922,504.262,495.88,511.166,487.003,509.037,490.519,503.334,501.28
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157509.0285559,433.81,433.283,466.373,486.015,536.952,513.402,547.402,506.646
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157659.0276558,470.696,473.156,499.874,503.483,537.074,474.369,490.35,480.132
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157674.0277627,503.81,481.808,494.765,476.018,501.132,491.152,508.821,476.447
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157839.027311,480.139,482.562,519.095,529.664,564.004,444.612,496.263,506.647
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755157929.0277872,479.662,476.619,492.438,495.511,521.687,513.024,443.715,490.486
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755158034.027759,448.678,463.329,492.054,508.468,543.607,500.475,529.078,447.676
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755158619.0284975,481.735,472.801,491.925,480.382,540.585,509.617,480.149,489.677
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755158784.0282397,504.24,501.239,516.268,506.924,516.059,502.073,534.226,504.787
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755158799.0276544,491.584,499.053,522.624,521.864,555.011,546.808,494.989,509.017
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755159384.0278068,507.524,512.946,527.613,513.78,527.548,506.035,524.122,494.656
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755159594.02776,492.682,526.455,505.784,526.53,527.164,531.644,549.35,500.178
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755159969.0280473,473.245,497.563,529.359,539.002,587.133,547.001,486.048,505.497
olmo25_140B_lc_64k-midtrain_round3_qwenlike_s2pdf_gzip2080_10B-preannealv2-b9609b3f,1755160494.0284104,476.948,499.858,527.846,549.333,586.746,497.64,508.897,516.813
